rank,name,url,overallRating,easeOfUse,design,features,outputs,privacy,accountFriction,resultQuality,Progressive group reveal,Interactive assignment process,Manual post-generation editing,bestFor,pricing,tags
214,RandTools Random Team Generator,https://randtools.com/random-team-generator,3.1,4.4,3.8,1.8,2.0,4.2,5.0,2.1,no,no,no,Privacy-conscious basic random team splitting with copy output,"Free web tool. No signup, download, or account is required.","privacy-friendly,basic-randomizer"
215,Shibutz Random Group Generator,https://www.shibutz.com/free-tools/random-groups,3.1,4.0,3.4,2.1,2.6,2.6,5.0,2.5,no,no,no,Teacher-focused random groups with fixed-size or fixed-count modes,Free tool with no registration required for the random group generator. The surrounding Shibutz product has sign-in and trial flows.,
216,Simplewoody Team Generator,https://simplewoody.com/en/random/team-generator.html,3.1,3.9,3.3,1.8,2.2,2.8,5.0,2.2,no,no,no,Simple random team generator with comma/newline input and copy results,Free ad-supported web tool. No account required.,
217,Team Balancer Generic Team Balance,https://www.team-balancer.com/generic-team-balance,3.1,2.8,2.8,3.1,1.5,3.3,5.0,3.7,no,no,no,Attribute-based team balancer for small manual rosters,Free web tool. No account required.,constraints
218,Toolnest Random Team Generator,https://lab.golamrabbani.org/generators/random-team-generator,3.1,4.0,3.4,2.5,2.0,3.2,5.0,2.8,no,no,no,Privacy-conscious basic teams with team-count/team-size modes and copy output,Free web tool.,
219,TurboToolkit Split List Into Groups,https://turboutilkit.com/splitlistintogroups/,3.1,3.2,2.8,3.1,4.0,1.6,5.0,2.2,no,no,no,"General list splitting with randomize, dedupe, sorting, CSV/JSON/text output, copy, and TXT download",Free. No account is required.,strong-exports
220,Utils.fun Random Grouping,https://utils.fun/random-group,3.1,3.1,3.2,2.7,3.1,4.2,5.0,2.2,no,no,no,Chinese-language browser grouping with copy/download output,Free. No account is required.,privacy-friendly
221,UU Online Random Group Tool,https://uutool.cn/group/,3.1,3.2,3.1,3.0,3.0,1.9,5.0,2.8,no,no,no,Chinese random grouping tool with group-size/count modes and Excel export claim,Free web tool. No account required.,
222,WheelOfNames.net Team Picker,https://wheelofnames.net/team-picker,3.1,3.7,3.2,2.6,3.1,1.2,5.0,2.8,no,no,no,Ad-supported team picker with skill/custom-name toggles and text export,"Free, ad-supported web tool. No account is needed.",constraints
223,A-Fitz Group Generator,https://github.com/A-Fitz/Group-Generator,3.0,2.5,2.4,3.2,1.4,3.8,3.0,3.0,no,no,no,Open-source desktop group generator that considers student preferences,Free open-source desktop app under MIT license.,constraints
224,ABCDTools Team Generator,https://www.abcdtools.com/en/team-generator,3.0,3.7,3.0,1.8,2.1,3.0,5.0,2.2,no,no,no,Free team grouping tool with copyable group cards,Free web tool. No account required.,
225,AI Random Generator Team Generator,https://ai-random-generator.com/random-team-generator,3.0,3.8,3.4,1.7,1.0,3.0,5.0,2.1,no,no,no,Clean random team generator with plus/minus team count,Free web tool. No account required.,"basic-randomizer,ai-assisted"
226,Animyjob Créateur de badges & équipes,https://www.animyjob.com/generateur-badges-equipe,3.0,3.2,3.2,2.8,3.5,2.0,4.5,2.8,no,no,no,French youth-animation tool for random teams plus printable badges/totems,Free web tool. No account observed for the generator.,
227,Begoodtool Smart Grouping Tool,https://begoodtool.com/smart-grouping/en,3.0,2.9,3.2,4.0,3.3,0.9,5.0,2.4,no,no,yes,"Experimental rule-based grouping with tags, violations, drag/drop, and Excel export",Free. No account is required. The page includes ads/consent and donation prompts.,constraints
228,Betext Random Team Generator,https://betext.io/random-team-generator/,3.0,4.2,3.4,2.6,3.5,3.1,5.0,2.2,no,no,no,Basic random teams with leaders and CSV/TXT/copy output,Free. No account is required.,strong-exports
229,Camp Chieflings TeamGen-360,https://chieflings.com/tools/teamgen-360/,3.0,3.4,3.1,2.6,1.8,2.0,4.5,2.6,no,no,no,Team generator with leaders and random team names,"Free web tool. The broader site has sign-in/shop surfaces, but the generator itself is available without an account.",
230,ChatGPT (Free Version),https://chatgpt.com/,3.0,4.0,4.4,3.4,3.2,2.0,3.5,2.8,no,no,no,Natural-language grouping when users are willing to verify the output,"Free tier available with usage/model/tool limits. Higher limits, stronger models, and business privacy defaults require paid ChatGPT plans; free consumer chats may be used to improve models depending on data controls/settings.","constraints,ai-assisted"
231,Chirag Mehta Team Maker,https://chir.ag/projects/team-maker/,3.0,4.3,2.5,2.7,3.5,2.7,5.0,2.2,no,no,no,Lightweight random teams with editable team names and CSV output,Free. No account is required.,strong-exports
232,CinderGPT Random Team Generator,https://www.cindergpt.com/tools/random-team,3.0,4.3,3.6,2.1,3.4,2.7,5.0,2.1,no,no,no,Quick random teams with copy/download/share and local browser processing claims,Free web tool. No registration required.,
233,Coda Random Team Generator Template,https://coda.io/@makon/random-team-generator,3.0,2.8,3.4,2.8,2.5,2.5,2.5,2.5,no,no,no,"Coda template for reusable random team generation with players, team selection, and team names tables",Free-to-view Coda template; copying/saving likely requires a Coda account.,
234,ConverterPanda Random Group Generator,https://converterpanda.com/random-group-generator/,3.0,3.5,3.1,3.0,3.2,1.2,5.0,2.2,no,no,no,"Basic random groups with remaining-member handling, naming styles, stats, export, and print",Free. No account is required.,
235,DecodeIt Random Team Generator,https://decodeit.app/en/randomizers/random-team-generator,3.0,4.2,4.0,2.2,2.8,1.8,5.0,2.4,no,no,no,"Polished browser-based random team splitter with upload, examples, and custom team names",Free web tool. No account required.,
236,DiceFlipper Team Generator,https://diceflipper.com/team-generator/,3.0,3.8,3.1,1.7,1.0,4.0,5.0,2.1,no,no,no,Simple random balanced team splitter with low observed tracking,Free web tool. No account required.,"privacy-friendly,basic-randomizer"
237,Diverse Group Generation,https://diverse-group-generation.vercel.app/,3.0,2.2,3.1,3.0,1.4,2.0,5.0,3.6,no,no,no,Small attribute-balanced grouping experiments,Free. No account is required.,constraints
238,DJPlaner GroupGenerator,https://djplaner.github.io/GroupGenerator/,3.0,3.5,2.1,1.9,1.6,4.8,5.0,2.1,no,no,no,Tiny GitHub Pages random group generator with save/load allocation controls,Free static web tool. No account required.,privacy-friendly
239,Edu4 Random Group Generator,https://www.edu4.com/random-group-generator/,3.0,3.6,3.0,1.7,1.0,4.0,5.0,2.1,no,no,no,Multilingual classroom random group generator with shuffle-again,Free web tool. No account required.,"privacy-friendly,basic-randomizer"
240,EliteAI Tools Random Team Generator,https://eliteai.tools/tool/random-team-generator,3.0,3.2,2.8,2.8,3.3,2.8,5.0,2.7,no,no,no,Random teams with captains and table/text/CSV output,Free online tool. No paid tier is described for the random team generator.,ai-assisted
241,EMFLS Random Team Generator,https://emfls.com/util/teamgen/,3.0,3.7,2.4,1.4,1.0,4.2,5.0,2.1,no,no,no,Tiny browser-based team splitter with no-upload/no-tracking claim,Free web tool. No account required.,"privacy-friendly,basic-randomizer"
242,FateWheel Team Generator,https://fatewheel.com/tools/team-generator,3.0,3.8,4.0,2.5,3.5,2.8,5.0,2.2,no,no,no,Visual random team assignment with team-count/team-size modes,"Free web tool with no account required for the tested generation flow. The wider site has login, saved-wheel, pricing, and ad-supported surfaces.",strong-exports
243,GeneratorLiczb Losowanie z listy,https://generatorliczb.pl/losowanie-z-listy,3.0,3.4,3.3,3.3,3.8,2.5,5.0,2.8,no,no,no,Polish list randomizer that can split lists into groups with import/export and saved lists,Free browser tool. No account required.,strong-exports
244,Glima AI Random Pair Generator,https://glima.ai/free-tools/ai-random-pair-name,3.0,3.3,3.2,2.4,1.5,1.8,4.2,2.4,no,no,no,AI-branded random pair generator with no-repeat/specific-rule inputs,"Free web tool; broader Glima AI product has sign-in/pricing, but reviewed pair generation did not require sign-in.","constraints,ai-assisted"
245,Golf Captains,https://www.golfcaptains.com/,3.0,2.2,3.0,3.4,1.0,2.6,1.4,2.8,no,no,no,"Account-based golf group captain assistant for rosters, availability, schedules, and pairings",14-day free trial; page advertises $10 per member per year. Account required.,
246,Ice Breaker Game Group Generator,https://icebreakergame.co/tools/group-generator,3.0,3.5,3.3,2.5,2.7,2.0,5.0,2.8,no,no,no,"Simple no-signup group generator for meetings, classrooms, and events",Free browser tool. No account required.,
247,InYourLeague Secret Santa Team Generator,https://tools.inyourleague.net/en/random-secret-santa-team-generator-group-size-exclusion-en/,3.0,3.2,2.8,3.0,1.8,2.2,5.0,3.2,no,no,no,Secret Santa-style teams with min/max sizes and exclusion pairs,"Free, ad-supported web tool. No account is needed for the generator.",constraints
248,JarvisBox Team Picker,https://tools.jarvisbox.app/pick/team-picker/,3.0,4.0,3.3,2.2,3.0,4.8,5.0,2.2,no,no,no,Privacy-friendly one-page team splitting with copy/download,Free. No account is required.,privacy-friendly
249,Lekktura Random Name Picker & Group Maker,https://lekktura.com/tools/random-name-picker,3.0,3.8,3.4,2.6,3.4,1.9,5.0,2.2,no,no,no,Classroom name picking plus basic random groups,"Free tool. No account is required for the picker/group maker, though the surrounding Lekktura product has login, school, pricing, and Stripe/payment surfaces.",strong-exports
250,LetsRandomize Random Team Generator,https://letsrandomize.org/tools/random-team-generator/,3.0,4.6,3.6,2.2,3.1,2.3,5.0,2.1,no,no,no,"Fast browser-side team splits with copy/share, recent history, and random-captain mode",Free web tool. No account required.,
251,Maak Groepjes,https://maakgroepjes.netlify.app/,3.0,3.3,2.8,2.7,1.5,3.6,5.0,2.3,no,no,no,"Dutch classroom group maker with pasted lists, gender-mixing option, saved lists, and offline-ish local cookies",Free web app. No account required.,
252,MyAIUtility Team Generator,https://myaiutility.com/tools/team-generator/,3.0,4.0,3.4,2.2,2.3,2.6,5.0,2.5,no,no,yes,"Simple team generator with import box, shuffle, copy, and manual move controls",Free web tool. No account required.,
253,Nacho Caballero Random Group Generator,https://observablehq.com/@nachocab/random-group-generator,3.0,2.0,2.4,3.6,1.2,2.6,3.8,3.4,no,no,no,Observable notebook for repeated random groups with pair-repeat minimization logic,Free public Observable notebook; sign-in only needed to fork/save work.,multi-round
254,NotchTools Team Maker,https://notchtools.com/team-maker,3.0,3.8,3.3,2.0,1.2,2.7,5.0,2.2,no,no,no,"Simple team maker with pasted players, team count/size controls, and editable team names",Free ad-supported web tool. No account required.,
255,Pandos Team Generator,https://pandos.io/team-generator,3.0,2.3,3.2,3.1,2.0,1.7,3.0,2.8,no,no,no,Guided team formation workflow when email/server processing is acceptable,Free tool flow allows up to 20 members without signup. More members require signup/contact. CSV/link delivery asks for an email address; the broader Pandos product has paid/business surfaces.,constraints
256,PartyPlay Team Generator,https://partyplay.games/en/team-generator/,3.0,3.4,3.7,2.8,2.7,2.0,5.0,2.2,no,no,no,"Casual party/classroom teams with paste, saved lists, captain mode, copy, and share",Free. No account is required.,
257,Penguin Tools Team Generator,https://penguintools.net/en/team-generator,3.0,4.3,3.2,1.8,2.0,3.2,5.0,2.4,no,no,no,Simple random teams with team-count or members-per-team mode,Free web tool. No account is needed for the team generator.,
258,PickRandom.online Random Team Generator,https://www.pickrandom.online/random-team,3.0,3.6,3.2,2.1,0.8,4.3,5.0,2.7,no,no,no,Private cryptographic browser-side random teams with no account,Free web tool. No signup required.,privacy-friendly
259,pyslackrandomcoffee,https://github.com/tjansson60/pyslackrandomcoffee,3.0,2.0,1.8,2.8,1.5,2.8,2.2,3.2,no,no,no,Open-source Slack random-coffee pair bot with recent-repeat avoidance,Free open-source Slack bot. Requires Slack API token and hosting/scheduler.,multi-round
260,Quick Pick Team Generator,https://quickpick.tools/teams,3.0,3.8,3.6,2.5,2.0,3.0,5.0,2.7,no,no,no,Simple random teams with optional skill balancing and share/fullscreen controls,Free web tool. No account is required.,constraints
261,Randly Group Generator,https://randly.app/tools/group-generator,3.0,3.8,3.6,2.7,2.4,4.0,5.0,2.3,no,no,no,Clean no-account random groups with multiple generated draws,Free. No account is required.,privacy-friendly
262,Random Peak Création de groupes,https://randompeak.com/creation-de-groupes/,3.0,3.7,3.1,2.6,2.5,3.0,5.0,2.8,no,no,no,French random group generation with multiple generated alternatives and copy output,Free browser tool. No account required.,
263,RandomGenerator.one Random Generator Pairs,https://randomgenerator.one/random-generator-pairs/,3.0,3.4,3.0,2.0,1.2,3.4,5.0,2.3,no,no,no,Random pair generator with color-coded cards and odd-person handling,Free web tool. No account required.,
264,Roulette Rush Team Generator,https://roulette-rush.vercel.app/tools/team-generator,3.0,3.2,4.0,2.5,1.4,4.0,5.0,2.3,no,no,no,Visual marble-race team picker with weighted entries and no-signup flow,Free web tool. No signup required.,privacy-friendly
265,Ruletaa Random Team Generator,https://ruletaa.net/en/team-generator,3.0,3.3,3.3,2.7,3.0,3.0,5.0,2.4,no,no,no,Browser-local random groups with dedupe and CSV/image download,Free web tool; no login required.,strong-exports
266,Simple Toolz Random Group Generator,https://www.simple-toolz.com/random-group-generator,3.0,3.5,3.2,1.8,2.0,4.0,5.0,2.2,no,no,no,Client-side random group generator with copy result,Free web tool. No account required.,privacy-friendly
267,SpinnChoose Random Team Generator,https://spinnchoose.com/random-team-generator/,3.0,3.4,3.2,2.8,2.5,1.6,5.0,2.2,no,no,no,"Casual sports, gaming, and classroom team splits with list/bracket views",Free. No account is required.,
268,SpinOfLuck Team Picker,https://www.spinofluck.com/team-picker,3.0,3.0,3.5,3.0,3.5,3.6,5.0,2.6,no,no,no,Quick random or attribute-balanced teams with a balance score and exports.,Free web team generator; no account required for generation and exports. Optional account for saved setups.,strong-exports
269,SpreadsheetPlanet Random Group Generator,https://spreadsheetplanet.com/calculators/random-group-generator/,3.0,3.9,3.0,2.0,2.2,1.8,5.0,2.3,no,no,no,Spreadsheet tutorial-site group calculator with count/size modes and copy output,Free ad-supported web calculator. No account required.,
270,Steven Mi Group Generator,https://steven-mi.github.io/group-generator/,3.0,3.6,2.2,1.4,1.0,4.8,5.0,2.1,no,no,no,Tiny static random subgroup generator,Free static web tool. No account required.,"privacy-friendly,basic-randomizer"
271,TeacherWorksheetGenerator Student Group Generator,https://teacherworksheetgenerator.com/tools/student-group-generator,3.0,4.0,3.1,1.7,2.0,3.0,5.0,2.1,no,no,no,Fast classroom grouping with print/reset controls,Free ad-supported web tool. No account required.,basic-randomizer
272,Top Teacher Group Maker Digi-Tool,https://topteacher.com.au/resource/group-maker-digi-tool,3.0,2.7,3.8,3.6,1.8,2.0,1.8,3.0,no,no,no,"Subscription teacher digi-tool with manual/auto grouping, saved student lists, configurations, and points",Top Teacher subscription/account required; pricing page linked.,constraints
273,Utility Tools Random Team Generator,https://tools.futureapp.work/en/team-generator,3.0,4.1,3.4,1.8,1.8,3.2,5.0,2.1,no,no,no,Basic browser-side random team splitting with quick team-count controls,Free ad-supported web tool. No account is required.,basic-randomizer
274,UtilityNestAI Team Generator,https://www.utilitynestai.com/team-generator,3.0,3.0,3.2,3.0,3.0,2.2,4.8,2.7,no,no,no,"Small team splits with individual entry, skill-balance option, custom names, share, and export",Free. No account is required for the generator.,"constraints,ai-assisted"
275,WheelPlay Team Picker Wheel,https://wheelplay.net/team-picker-wheel/,3.0,2.1,3.0,3.7,3.2,1.4,5.0,2.6,no,no,no,"Visual team picking with CSV export, representatives, and label/gender distribution options",Free. No account is required.,"constraints,strong-exports"
276,WTools Random Team Generator,https://wtools.dev/team-generator,3.0,3.8,3.1,1.8,1.0,2.0,5.0,2.1,no,no,no,Simple team picker with team-count preset and shuffle-again,Free ad-supported web tool. No account required.,basic-randomizer
277,AllTools.dev Random Team Generator,https://alltools.dev/tools/random/random-team-generator/,2.9,3.6,3.4,1.9,2.2,3.0,4.5,2.7,no,no,no,Crypto-random browser-side teams with print and share URL,Free web tool. No account required for browser-side use; signed-in users can opt in to saved calculations.,
278,Classroom.Group Online Group Generator,https://classroom.group/online-group-generator,2.9,3.6,3.7,2.2,1.4,3.6,4.4,2.2,no,no,no,Teachers who want a simple local web splitter and may later upgrade to the iOS Groups app,"Online generator is free. The iOS app is free with in-app purchases: Pro Monthly $2.99, Pro Yearly $14.99, or Pro $39.99.",
279,DecideHub Team Generator,https://decidehub.app/team-generator/,2.9,3.9,3.4,2.3,2.4,4.2,5.0,2.1,no,no,no,Sports-style two-to-six-team splits with copy and local saved rosters,Free. No account is required.,privacy-friendly
280,DecisionFlip Team Picker,https://decisionflip.com/team-picker,2.9,4.0,3.1,2.2,2.0,1.2,5.0,2.5,no,no,no,Basic random teams with balanced/random/snake distribution modes,"Free, ad-supported web tool. No account is needed for the team picker.",
281,FindUtils Random Picker / Team Mode,https://findutils.com/generate/random-picker/,2.9,3.4,3.2,2.2,2.4,3.0,5.0,2.2,no,no,no,Privacy-leaning browser-side team splits inside a multipurpose random picker,Free. No account is required.,
282,FunRandomPickers Random Team Generator,https://funrandompickers.com/teams/play,2.9,4.0,3.2,2.4,2.8,0.8,5.0,2.4,no,no,no,Simple visual team cards with copy/share and fullscreen,Free ad-supported web tool. No account required in the observed team workflow.,
283,FunToSpin Team Generator,https://funtospin.com/random/team-generator/,2.9,3.6,2.8,1.5,0.8,2.0,5.0,2.0,no,no,no,Simple classroom team generator,Free ad-supported web tool. No account required.,basic-randomizer
284,LDDGO Random Group Generator,https://www.lddgo.net/en/common/random-group,2.9,3.3,2.4,2.5,4.0,1.8,5.0,2.2,no,no,no,Random group generator with TXT/XLSX import and TXT/XLSX downloads,Free ad-supported web tool. No account required.,strong-exports
285,Linkorama Zufallsgenerator Gruppen bilden,https://www.linkorama.ch/zufallsgenerator-gruppen-bilden/,2.9,3.6,3.0,1.7,1.0,4.0,5.0,2.1,no,no,no,German random group generator with size/count modes,Free web tool. No account required.,"privacy-friendly,basic-randomizer"
286,Microsoft Excel,https://www.microsoft.com/microsoft-365/excel,2.9,2.0,3.7,2.8,4.8,3.8,2.2,2.6,no,no,partial,Spreadsheet users who want local files or organization-controlled rosters,"Included in Microsoft 365 plans or standalone Office licenses; Excel for the web is available with a Microsoft account, and organization/education pricing varies.","constraints,strong-exports"
287,OnlineTool.me Random Team Generator,https://onlinetool.me/Random-Team-Generator/,2.9,3.5,3.0,1.8,1.5,2.8,5.0,2.1,no,no,no,Basic random team generator with share-link control,Free web tool. No account required.,basic-randomizer
288,PickerBot Team Generator,https://pickerbot.app/team-generator/,2.9,3.5,3.5,1.7,1.0,3.0,5.0,2.0,yes,no,no,Animated random team generator with dark/light mode,Free web tool. No account required.,basic-randomizer
289,QuickWheelSpin Team Picker,https://quickwheelspin.com/team-picker,2.9,3.7,3.8,2.3,2.6,2.8,5.0,2.1,no,no,no,Visual basic team picking with copy/share-image outputs,Free web tool. No account is required.,
290,Random Letter Generator Group Generator,https://randomlettergenerator.app/group-generator,2.9,4.2,3.8,1.9,2.2,2.7,5.0,2.2,no,no,no,"Polished simple random groups with paste input, group count, copy, and basic stats",Free web tool. No account required.,
291,RandomGenerator.one Random Generator Group,https://randomgenerator.one/random-generator-group/,2.9,3.7,3.0,1.7,2.0,3.0,5.0,2.1,no,no,no,Group-size randomizer with copy output,Free web tool. No account required.,basic-randomizer
292,RandomGroup.online,https://randomgroup.online/,2.9,4.0,2.8,2.2,3.5,3.0,5.0,2.1,no,no,no,"Multilingual basic random groups with copy, TXT, and Excel export",Free. No account is required.,
293,RandomGroup.org Random Group Generator,https://randomgroup.org/,2.9,4.5,3.5,2.4,3.5,3.0,5.0,2.1,no,no,no,No-account random groups with TXT/CSV export,Free. No account is required.,strong-exports
294,RandomizerKits Random Group Generator,https://www.randomizerkits.com/en/random-group,2.9,3.2,3.0,1.8,1.0,3.0,5.0,2.1,no,no,no,Multilingual random group generator with count/size modes,Free web tool. No account required.,basic-randomizer
295,RandomPickerWheel Team Generator,https://randompickerwheel.app/de/random-team-generator,2.9,4.2,3.5,2.0,2.0,3.8,5.0,2.7,no,no,no,Simple multilingual browser random team generator using crypto randomness,Free browser tool. No account required.,
296,RapidWebApp Random Team Generator,https://www.rapidwebapp.com/random-team-generator,2.9,3.7,2.7,2.5,3.0,0.8,5.0,2.2,no,no,no,"Iframe-based random teams with custom names, leaders, copy, and image export",Free. No account is required.,
297,Spinwheely Random Team Generator,https://spinwheely.com/random-team-generator,2.9,3.2,3.7,2.3,4.0,2.0,4.8,2.1,no,no,no,"Visual browser-side random teams with PDF, CSV, and text export",Free ad-supported web tool. No account is required for the generator; account buttons exist for broader Spinwheely features.,strong-exports
298,TeamShufflr,https://teamshufflr.com/de/,2.9,2.8,4.0,2.7,3.4,2.6,4.8,2.2,no,no,no,In-person workshops that want printable team cards rather than a normal result table,Basic version is free. The site mentions custom branded cards by contacting them.,
299,TrumpExcel Random Team Generator,https://trumpexcel.com/tools/random-team-generator/,2.9,4.5,3.7,2.0,4.0,1.5,5.0,2.0,no,no,no,Simple local random groups with spreadsheet-friendly output,Free web tool. No account required.,strong-exports
300,Wanglitou List Randomizer with Teams,https://www.wanglitou.com/list-randomizer/,2.9,3.0,2.7,2.7,3.2,3.2,5.0,2.1,no,no,no,Seedable list randomization and simple team output with copy/TXT download,Free. No account is required.,
301,Wheelpick Team Generator,https://wheelpick.app/team-generator,2.9,4.0,4.2,2.2,0.8,3.5,5.0,2.1,no,no,no,Polished no-account browser-side random teams from a saved roster,Free web tool. No account is required.,
302,Zoom breakout room assignment,https://support.zoom.com/hc/en/article?id=zm_kb&sysparm_article=KB0062540,2.9,3.0,3.6,3.0,2.8,3.2,2.0,2.3,no,yes,yes,Assigning live meeting participants directly into Zoom rooms,"Breakout rooms are available in Zoom meetings, including free/basic contexts, but meeting duration, participant capacity, admin controls, and large-meeting needs depend on Zoom plan and account settings.",constraints
303,A Lot Of Tools Team Generator,https://alotoftools.com/team-generator,2.8,3.4,3.0,1.8,1.8,2.8,5.0,2.1,no,no,no,Basic team generator with add-name workflow and copy-oriented results,Free web tool. No account required.,basic-randomizer
304,AIOneTools Random Team Generator,https://aionetools.com/tools/picker/team-generator-wheel,2.8,3.7,3.0,2.0,1.6,2.5,5.0,2.2,no,no,no,Simple browser-side random groups with shuffle and clean team cards,Free web tool; no signup required for tested generation.,ai-assisted
305,bCalculator Random Team Generator,https://bcalculator.com/tools/random-team-generator,2.8,3.4,2.6,1.4,0.8,1.7,5.0,2.1,no,no,no,Basic random team generator with verified two-team output,Free ad-supported web tool. No account required.,basic-randomizer
306,CalcTools.online Random Team Generator,https://calctools.online/en/random/team-generator,2.8,3.2,2.8,1.8,1.2,2.8,5.0,2.0,no,no,no,Utility-site team generator with count/member modes,Free web tool. No account required.,basic-randomizer
307,CalculationClub Random Team Generator,https://calculationclub.com/random-team-generator/,2.8,3.4,2.8,1.8,1.1,2.2,5.0,2.1,no,no,no,Basic random team generator with equal/unequal distribution toggle,Free ad-supported web tool. No account required.,basic-randomizer
308,Cojoro Team Generator,https://cojoro.dedyn.io/RandTeamGen/index.html,2.8,2.6,2.7,3.4,3.8,1.8,5.0,2.4,no,no,no,"Standalone team generation with custom team names, leader selection, and multiple export formats if certificate warnings are acceptable",Free. No account is required.,strong-exports
309,DiceGameHub List Randomizer & Team Generator,https://dicegamehub.com/tools/list-randomizer,2.8,3.6,3.2,2.2,2.8,2.8,5.0,2.1,no,no,no,Simple team generation with copy-all and image download,Free. No account is required.,
310,EasyEduTools Group Maker,https://www.easyedutools.com/en/tools/group-maker,2.8,2.7,3.6,3.3,2.8,2.2,2.0,2.8,no,no,yes,"Productized teacher group maker with roster sync, drag/drop, save, presentation order, and PDF/copy claims",Free to use according to page; login required to open the tool/dashboard.,
311,Games by Marco Team Generator,https://teams.gamesbymarco.com/,2.8,4.7,3.8,1.8,1.0,4.7,5.0,2.1,no,no,no,Minimal private-ish random teams with team-count or team-size mode,Free web tool. No account is required.,"privacy-friendly,basic-randomizer"
312,Generate-Random.org Random Team Generator,https://generate-random.org/teams,2.8,4.1,3.2,2.5,4.0,0.8,5.0,2.1,no,no,no,Simple random teams with strong text/CSV/JSON exports if hosted processing is acceptable,Free web tool. No signup is required.,strong-exports
313,GeneratorHub Random Team Generator,https://generatorhub.org/other-generators/team-generator,2.8,3.2,2.8,1.9,1.0,3.0,5.0,2.0,no,no,no,Basic random team generator with optional custom team names,Free ad-supported web tool. No account required.,
314,GeneratorSuite Random Team Generator,https://generatorsuite.com/random-team-generator,2.8,3.2,2.8,1.8,1.2,2.4,5.0,2.0,no,no,no,Random team generator with members-per-team and number-of-teams controls,Free web tool. No account required.,basic-randomizer
315,GetRandomTools Random Grouping,https://www.getrandomtools.com/nl/random-group/,2.8,3.1,2.9,1.9,0.8,3.0,5.0,2.0,no,no,no,Multilingual random grouping utility with file/list input and configurable separator,Free web tool. No account required.,
316,Google Sheets,https://sheets.google.com/,2.8,2.0,3.7,2.8,4.7,3.4,2.0,2.6,no,no,partial,Spreadsheet users willing to build their own random grouping template,Free with a Google account for consumer use; Google Workspace and Workspace for Education plans vary by organization.,"constraints,strong-exports"
317,GoOnlineTools Random Group Generator,https://goonlinetools.com/random-group-generator/,2.8,4.3,3.8,2.5,2.8,1.3,4.8,2.2,no,no,no,"Simple random groups with a modern UI, regenerate, statistics, and possible copy/download/share icons",Free web tool. No account required for generation; sign-in exists for the broader GoOnlineTools site.,constraints
318,Groupify,https://groupify-kappa.vercel.app/,2.8,3.0,3.2,2.5,2.3,4.0,5.0,2.1,no,no,no,Generated/manual/file member grouping tool with random grouping and Excel-style output claims,Free web app. No account required.,privacy-friendly
319,Gynzy Group Maker,https://www.gynzy.com/en/library/items/group-maker,2.8,3.6,4.3,2.0,2.3,1.8,5.0,2.1,no,no,no,Interactive whiteboard random groups inside Gynzy,"The Group Maker opens with “No account needed” from the Gynzy library page. Gynzy itself is a broader paid/education whiteboard platform, but this specific tool can be opened without signing in.",
320,InkPx Random Group Generator,https://inkpx.com/random-group-generator,2.8,4.0,3.1,2.1,1.6,1.4,5.0,2.1,no,no,no,Simple group-count splits with remembered local input history,"Free, ad-supported web tool. No account is required.",
321,iwoithe Random Group Generator,https://github.com/iwoithe/Random-Group-Generator,2.8,2.4,2.4,2.4,1.8,3.0,3.2,2.2,no,no,no,Open-source cross-platform random group generator repository,Free open-source desktop app under GPL-3.0.,
322,James Baum Team Generator,https://www.jamesbaum.co.uk/team-generator/,2.8,3.5,2.3,1.8,1.0,2.8,5.0,2.0,no,no,no,Classic team generator with themed team names,Free web tool. No account required.,basic-randomizer
323,Kody Tools Random Team Generator,https://www.kodytools.com/random-team-generator,2.8,3.2,2.8,1.7,1.8,2.4,5.0,2.0,no,no,no,Simple utility-site random team generator with copy/share controls,Free ad-supported web tool. No account required.,basic-randomizer
324,Kordu Team Randomizer,https://kordu.tools/tools/gaming/team-randomizer/,2.8,4.4,4.0,1.9,2.0,2.0,5.0,2.1,no,no,no,Clean browser-side random teams with re-roll and copy,Free. No account is required.,
325,Lettre Aléatoire Générateur d’équipes,https://www.lettrealeatoire.fr/generateur-equipes,2.8,3.6,3.2,2.1,2.0,1.8,5.0,2.6,no,no,no,Simple French random team splitter,Free web tool. No account required.,
326,Online-Calculator.org Random Team Generator,https://online-calculator.org/tools/random-team-generator.php,2.8,3.4,2.6,1.4,0.8,1.7,5.0,2.1,no,no,no,Basic random team generator with verified two-team output,Free ad-supported web tool. No account required.,basic-randomizer
327,OnlTools Random Group Generator,https://onltools.com/random-group-generator,2.8,4.0,3.0,1.8,1.0,2.6,5.0,2.2,no,no,no,Simple online random groups with by-size and by-number modes,Free web tool. No account required.,
328,Paji Lots Team Grouping,https://toolset.marco79423.net/en/random-group-generator,2.8,3.4,3.3,1.8,1.6,2.8,5.0,2.5,no,no,no,Browser-side random team grouping with CSPRNG,Free web tool. No account is needed.,
329,Pradoy Random Team Generator,https://www.pradoy.com/random-team-generator,2.8,3.6,3.3,2.1,1.7,2.4,5.0,2.3,no,no,no,Random teams with max-size mode and themed team names,Free web tool. No account is needed for the random team generator.,
330,Random Group Generator Chrome Extension,https://chromewebstore.google.com/detail/random-group-generator/ahdimffafoiopfpheklpnkmepibagijl,2.8,2.5,2.5,2.2,3.4,3.5,2.8,2.2,no,no,no,Chrome extension for Excel/CSV random groups,Free Chrome extension. Requires Chrome/Chromium extension installation.,strong-exports
